1976,8,11,12,10,6,9,16,7
1981,6,9,11,12,7,10,18,7
Baker,5,9,14,13,10,12,19,7
Blair,9,1,6,19,9,10,18,5
Bloomberg,5,10,11,11,7,10,18,7
Bogle,7,11,12,10,6,9,16,7
Buyers,10,3,4,17,8,8,16,4
Campbell,11,3,5,21,11,11,19,4
Edwards,10,4,4,16,6,7,15,2
Fisher,6,8,10,11,6,9,17,8
Forbes,3,9,13,16,10,13,21,9
Hamilton,10,2,6,20,10,10,19,6
Hargadon,5,7,11,14,7,10,18,6
Holder,12,5,3,18,9,8,17,7
Joline,10,2,6,19,10,10,18,5
Lauritzen,5,8,11,14,7,10,18,5
Little,9,4,7,16,8,9,18,2
Murley,4,7,11,14,7,10,18,5
New College West,7,12,13,11,9,12,20,7
Wendell,5,7,8,12,4,7,15,2
Wilf,7,11,12,10,6,9,16,6
Witherspoon,9,3,4,17,7,7,16,4
Yeh College,8,13,14,10,10,13,18,8
Yoseloff,9,11,12,10,6,9,16,6
1901,7,3,6,16,8,9,17,5
Laughlin,7,3,6,16,8,9,17,5
1903,9,6,8,13,4,6,15,1
Brown,10,6,7,13,4,7,15,1
Cuyler,8,6,8,13,4,6,15,1
Dod,11,5,5,15,6,7,15,2
Feinberg,9,9,9,11,1,5,13,4
Foulke,7,2,7,19,9,10,18,5
Henry,7,3,7,17,9,10,18,6
Lockhart,8,1,6,18,9,9,18,5
Patton,7,7,8,12,4,7,15,2
Wright,7,7,8,12,4,7,15,2
Pyne,7,5,8,14,6,9,17,4
Scully,8,11,12,10,6,9,16,6
Spelman,5,5,11,14,5,8,16,3
Walker,8,6,8,13,4,6,15,1
1967,9,11,12,10,6,9,16,6
